symptoms,department
I've been suffering from nausea and headache for a few days.,Neurology
Dealing with severe vomiting and watery diarrhea.,General Medicine
Inflamed red bumps,Dermatology
Experiencing red sores around nose along with fluid filled bumps.,Dermatology
"Started with unexplained weight gain, now I also feel thinning hair.",General Medicine
I have red tender gums and blood while brushing teeth.,Dentistry
Dealing with severe aching heavy legs and leg cramping at night.,General Medicine
Toddler high temperature,Pediatrics
I've been suffering from nausea and vomiting for a few days.,General Medicine
I have pain when chewing and tooth nerve throbbing.,Dentistry
I feel visible hole in tooth and cavity in molar.,Dentistry
Yellow eyes,General Medicine
I feel racing heart rate and sweating.,General Medicine
Dealing with severe swollen lips after medicine and skin peeling.,Dermatology
Stomach pain,General Medicine
I have constipation and continuous high fever.,General Medicine
Experiencing blood while brushing teeth along with swollen bleeding gums.,Dentistry
Headache,General Medicine
Dealing with severe continuous high fever and constipation.,General Medicine
High fever with chills,General Medicine
"Started with painful bowel movements, now I also feel anal lumps.",General Medicine
Staying awake at night,Psychiatry
I have rash spread all over skin and body aches.,Pediatrics
I feel severe bone joint pain and nausea.,General Medicine
Experiencing itching in anal area along with anal lumps.,General Medicine
I've been suffering from constant crying spells and feeling empty and hopeless for a few days.,Psychiatry
Unable to fall asleep,Psychiatry
Dealing with severe stiff fingers and swollen painful joints.,Orthopedics
I feel leg cramping at night and spider veins.,General Medicine
Experiencing sweaty palms along with nervous stomach.,Psychiatry
I've been suffering from oily skin and blackheads for a few days.,Dermatology
"Started with toddler high temperature, now I also feel baby crying and hot.",Pediatrics
Itchy throat,Dermatology
"Started with slurred speech, now I also feel numbness in arm.",Neurology
High blood pressure,Cardiology
Pelvic cramps during cycle,Gynecology
Complaining of pelvic cramps during cycle together with lower abdominal pain.,Gynecology
Jaundice symptoms and fatigue which is getting worse.,General Medicine
Thick yellow nasal discharge,ENT
I have yellow eyes and fatigue.,General Medicine
Complaining of chest tightness when breathing together with dry cough at night.,General Medicine
"Started with dry cough at night, now I also feel chest tightness when breathing.",General Medicine
High fever with chills and sweating which is getting worse.,General Medicine
I have headache and loss of balance.,Neurology
"Started with high fever with chills, now I also feel headache and muscle ache.",General Medicine
Fluid drainage from ear and hearing muffling which is getting worse.,ENT
Complaining of jaundice together with fever.,General Medicine
Complaining of yellow eyes together with yellow skin color.,General Medicine
Jaundice symptoms,General Medicine
Dealing with severe lower abdominal pain and heavy period bleeding.,Gynecology
Nausea,General Medicine
I've been suffering from hearing muffling and ear pain for a few days.,ENT
Experiencing visual aura along with nausea.,Neurology
Dealing with severe red tender gums and swollen bleeding gums.,Dentistry
I feel runny nose and dry cough.,ENT
Dealing with severe swollen painful joints and stiff fingers.,Orthopedics
I've been suffering from abdominal swelling and yellowing of eyes for a few days.,General Medicine
Extreme body weakness,General Medicine
Abdominal pain under ribs,General Medicine
Experiencing abdominal swelling along with jaundice after heavy drinking.,General Medicine
"Started with sudden hives, now I also feel swollen lips after medicine.",Dermatology
Experiencing nausea along with abdominal swelling.,General Medicine
Experiencing dark urine along with yellow skin.,General Medicine
"Started with watery eyes, now I also feel runny nose.",Dermatology
Experiencing body aches along with rash spread all over skin.,Pediatrics
Blood while brushing teeth,Dentistry
Skin peeling,Dermatology
Infant teething fever,Pediatrics
Experiencing itchy fluid filled blisters along with body aches.,Pediatrics
I have baby crying and hot and child colic.,Pediatrics
I've been suffering from chest pain when breathing and high fever with chills for a few days.,General Medicine
"Started with high blood pressure, now I also feel nosebleeds.",Cardiology
Dealing with severe pain behind eyes and high fever.,General Medicine
I've been suffering from continuous high fever and constipation for a few days.,General Medicine
Complaining of abdominal discomfort together with fatigue.,General Medicine
"Started with dry skin, now I also feel thinning hair.",General Medicine
Abdominal discomfort and fatigue which is getting worse.,General Medicine
I feel fatigue and abdominal swelling.,General Medicine
I've been suffering from nausea and loss of appetite for a few days.,General Medicine
I feel nasal blockage and facial pain under eyes.,ENT
Complaining of tooth nerve throbbing together with pain when chewing.,Dentistry
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Dentistry
"Started with baby crying and hot, now I also feel toddler high temperature.",Pediatrics
Complaining of hip joint stiffness together with joint stiffness in morning.,Orthopedics
Dealing with severe stomach cramps and vomiting.,General Medicine
"Started with lower abdominal pain, now I also feel severe menstrual cramps.",Gynecology
Experiencing fatigue along with dark tea colored urine.,General Medicine
Dealing with severe burning sensation during urination and lower pelvic pain.,Gynecology
I have severe headache and dizziness.,Cardiology
Experiencing dry skin along with constant fatigue.,General Medicine
Experiencing abdominal swelling along with nausea.,General Medicine
Dealing with severe nausea and throbbing headache.,Neurology
Nausea and shortness of breath which is getting worse.,Cardiology
Fluid drainage from ear,ENT
Sinus headache,ENT
"Started with sweaty palms, now I also feel constant panic feeling.",Psychiatry
Sweating and severe shivering which is getting worse.,General Medicine
I feel constant panic feeling and sweaty palms.,Psychiatry
Complaining of vertigo together with loss of balance.,Neurology
Sweating,Cardiology
I have staying awake at night and unable to fall asleep.,Psychiatry
"Started with vomiting, now I also feel nausea.",General Medicine
Joint inflammation and warm red joints which is getting worse.,Orthopedics
Abdominal discomfort,General Medicine
I've been suffering from constipation and headache for a few days.,General Medicine
Pain when chewing,Dentistry
I feel severe menstrual cramps and pelvic cramps during cycle.,Gynecology
Complaining of fever together with rash spread all over skin.,Pediatrics
"Started with fatigue and low energy, now I also feel constant crying spells.",Psychiatry
Dealing with severe fatigue and yellowing of eyes.,General Medicine
I have sudden weakness and loss of coordination.,Neurology
I've been suffering from shoulder stiffness and neck cracking sound for a few days.,Neurology
Visual aura,Neurology
Experiencing dizziness along with nausea.,Neurology
Jaundice after heavy drinking,General Medicine
Dry scaly patches,Dermatology
I feel facial pain under eyes and sinus headache.,ENT
I've been suffering from fever and itchy fluid filled blisters for a few days.,Pediatrics
Complaining of dark yellow urine together with jaundice.,General Medicine
Dealing with severe red sores around nose and fluid filled bumps.,Dermatology
Dealing with severe headache and stomach pain.,General Medicine
Dealing with severe mild sore throat and dry cough.,ENT
I have dry cough and sneezing.,ENT
I feel visible hole in tooth and tooth sensitivity to hot cold.,Dentistry
Complaining of headache together with constipation.,General Medicine
Complaining of fatigue together with yellow eyes.,General Medicine
I've been suffering from warm red joints and stiff fingers for a few days.,Orthopedics
Facial droop and numbness in arm which is getting worse.,Neurology
Complaining of honey colored crusts on skin together with red sores around nose.,Dermatology
Complaining of nausea together with jaundice after heavy drinking.,General Medicine
Ear pain,ENT
I have leg cramping at night and aching heavy legs.,General Medicine
Joint stiffness in morning,Orthopedics
I've been suffering from jaundice and fever for a few days.,General Medicine
Experiencing abdominal swelling along with fatigue.,General Medicine
Complaining of sharp pain in tooth together with gum sensitivity.,Dentistry
Shoulder stiffness,Neurology
Tooth sensitivity to hot cold and cavity in molar which is getting worse.,Dentistry
"Started with wheezing, now I also feel difficulty catching breath.",General Medicine
I feel difficulty walking and numbness in arm.,Neurology
Complaining of sour taste in mouth together with chest burn after eating.,General Medicine
Experiencing facial pain under eyes along with sinus headache.,ENT
I've been suffering from high fever with chills and sweating for a few days.,General Medicine
Dealing with severe stiff fingers and warm red joints.,Orthopedics
I have swollen purple veins on legs and aching heavy legs.,General Medicine
Dealing with severe blood while brushing teeth and red tender gums.,Dentistry
Dealing with severe cough with green sputum and shortness of breath.,General Medicine
Complaining of facial droop together with loss of coordination.,Neurology
Sweating and nausea which is getting worse.,Cardiology
Ear pain and fluid drainage from ear which is getting worse.,ENT
I've been suffering from abdominal discomfort and jaundice symptoms for a few days.,General Medicine
I feel coughing up blood and persistent cough for 3 weeks.,General Medicine
"Started with ear pain, now I also feel hearing muffling.",ENT
"Started with swollen purple veins on legs, now I also feel leg cramping at night.",General Medicine
I have sweaty palms and nervous stomach.,Psychiatry
"Started with fluid filled bumps, now I also feel blisters.",Dermatology
Dealing with severe visible hole in tooth and tooth sensitivity to hot cold.,Dentistry
I feel coughing up blood and night sweats.,General Medicine
I have cavity in molar and visible hole in tooth.,Dentistry
"Started with sudden weakness, now I also feel loss of coordination.",Neurology
I have arm tingling and numbness in fingers.,Neurology
Child colic,Pediatrics
I've been suffering from sharp pain in tooth and pain when chewing for a few days.,Dentistry
Experiencing heavy period bleeding along with severe menstrual cramps.,Gynecology
Vertigo,Neurology
Fatigue,General Medicine
Painful bowel movements,General Medicine
Dizziness and severe headache which is getting worse.,Cardiology
I have hunger and confusion and shakiness and sweating.,General Medicine
I have silver scaly patches and itchy elbows.,Dermatology
Cracking knee joint,Orthopedics
Rash spread all over skin and body aches which is getting worse.,Pediatrics
I've been suffering from unexplained weight loss and coughing up blood for a few days.,General Medicine
I have inflamed red bumps and oily skin.,Dermatology
Infant teething fever and child colic which is getting worse.,Pediatrics
"Started with fever, now I also feel vomiting.",General Medicine
I feel sweating and acute chest pain.,Cardiology
I've been suffering from arm tingling and neck pain for a few days.,Neurology
"Started with fatigue, now I also feel jaundice.",General Medicine
"Started with headache and muscle ache, now I also feel severe shivering.",General Medicine
I have swollen bleeding gums and blood while brushing teeth.,Dentistry
Joint inflammation,Orthopedics
I've been suffering from coughing up blood and persistent cough for 3 weeks for a few days.,General Medicine
Lower pelvic pain,Gynecology
I feel honey colored crusts on skin and red sores around nose.,Dermatology
Dark tea colored urine,General Medicine
I have fatigue and yellowing of eyes.,General Medicine
I feel pimples on face and cystic breakouts.,Dermatology
Dealing with severe nausea and fatigue.,General Medicine
Complaining of numbness in arm together with difficulty walking.,Neurology
Nausea,Neurology
"Started with nausea, now I also feel yellowing of eyes.",General Medicine
Complaining of pain behind eyes together with nausea.,General Medicine
I have waking up tired and unable to fall asleep.,Psychiatry
I feel visible hole in tooth and cavity in molar.,Dentistry
I feel baby crying and hot and infant teething fever.,Pediatrics
I've been suffering from sudden weakness and facial droop for a few days.,Neurology
"Started with joint pain, now I also feel dark urine.",General Medicine
Severe bone joint pain,General Medicine
Shakiness and sweating and sudden dizziness which is getting worse.,General Medicine
I have nausea and fatigue.,General Medicine
Complaining of fever together with jaundice.,General Medicine
Complaining of blisters together with honey colored crusts on skin.,Dermatology
Dealing with severe vomiting and mild fever.,General Medicine
Persistent cough for 3 weeks,General Medicine
Dealing with severe vomiting and dark yellow urine.,General Medicine
Sour taste in mouth and acid reflux which is getting worse.,General Medicine
"Started with extreme body weakness, now I also feel headache.",General Medicine
Constant sneezing,Dermatology
Experiencing nosebleeds along with dizziness.,Cardiology
Racing thoughts,Psychiatry
I have fatigue and nausea.,General Medicine
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Dentistry
Experiencing blackheads along with pimples on face.,Dermatology
I've been suffering from neck pain and neck cracking sound for a few days.,Neurology
Experiencing swollen bleeding gums along with blood while brushing teeth.,Dentistry
Itchy fluid filled blisters and fever which is getting worse.,Pediatrics
I have shortness of breath and cough with green sputum.,General Medicine
Severe menstrual cramps,Gynecology
Vomiting,General Medicine
I have constant fatigue and unexplained weight gain.,General Medicine
I feel fluid drainage from ear and clogged ear sensation.,ENT
"Started with thick yellow nasal discharge, now I also feel facial pain under eyes.",ENT
Vomiting and fever which is getting worse.,General Medicine
Swollen bleeding gums and blood while brushing teeth which is getting worse.,Dentistry
I have bloating and sour taste in mouth.,General Medicine
Experiencing high blood pressure along with shortness of breath.,Cardiology
I've been suffering from restlessness and nervous stomach for a few days.,Psychiatry
Complaining of yellowing of eyes together with abdominal swelling.,General Medicine
Sharp pain in tooth and pain when chewing which is getting worse.,Dentistry
I have bloating and heartburn.,General Medicine
"Started with abdominal swelling, now I also feel yellowing of eyes.",General Medicine
Complaining of sweating together with nausea.,Cardiology
Staying awake at night and waking up tired which is getting worse.,Psychiatry
I feel dark urine and fatigue.,General Medicine
Honey colored crusts on skin and red sores around nose which is getting worse.,Dermatology
Yellowing of eyes,General Medicine
I have jaundice after heavy drinking and abdominal swelling.,General Medicine
Loss of appetite,General Medicine
Dealing with severe nervous stomach and racing thoughts.,Psychiatry
I've been suffering from dark urine and loss of appetite for a few days.,General Medicine
Complaining of warm red joints together with swollen painful joints.,Orthopedics
I feel rectal bleeding and painful bowel movements.,General Medicine
Complaining of skin peeling together with fungal patches on toes.,Dermatology
I have fatigue and yellowing of eyes.,General Medicine
Constant fatigue,General Medicine
I feel nosebleeds and dizziness.,Cardiology
I feel difficulty catching breath and dry cough at night.,General Medicine
I feel chest pain when breathing and high fever with chills.,General Medicine
Experiencing vomiting along with dark yellow urine.,General Medicine
Complaining of tooth sensitivity to hot cold together with visible hole in tooth.,Dentistry
Itchy elbows and silver scaly patches which is getting worse.,Dermatology
I have skin plaques and itchy elbows.,Dermatology
Dealing with severe chest pressure and nosebleeds.,Cardiology
"Started with fatigue, now I also feel loss of appetite.",General Medicine
Red itchy skin rash,Dermatology
Experiencing dark urine along with joint pain.,General Medicine
Complaining of sweating together with racing heart rate.,General Medicine
Jaundice,General Medicine
I feel persistent cough for 3 weeks and unexplained weight loss.,General Medicine
I've been suffering from severe shivering and high fever with chills for a few days.,General Medicine
Dealing with severe cough with green sputum and chest pain when breathing.,General Medicine
I have swollen bleeding gums and blood while brushing teeth.,Dentistry
I have loss of appetite and yellow eyes.,General Medicine
Cracking knee joint and joint stiffness in morning which is getting worse.,Orthopedics
I have lower pelvic pain and cloudy foul urine.,Gynecology
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Psychiatry
Burning sensation during urination,Gynecology
Cavity in molar and visible hole in tooth which is getting worse.,Dentistry
I've been suffering from rectal bleeding and painful bowel movements for a few days.,General Medicine
Complaining of itchy body rash together with sudden hives.,Dermatology
Sweating and headache and muscle ache which is getting worse.,General Medicine
Dealing with severe nausea and shortness of breath.,Cardiology
"Started with dizziness, now I also feel sensitivity to sound.",Neurology
Ringworm spots,Dermatology
Constant sneezing and nasal congestion which is getting worse.,Dermatology
I've been suffering from loss of interest in hobbies and fatigue and low energy for a few days.,Psychiatry
I've been suffering from baby crying and hot and toddler high temperature for a few days.,Pediatrics
"Started with dark tea colored urine, now I also feel loss of appetite.",General Medicine
Experiencing sudden weakness along with numbness in arm.,Neurology
Complaining of yellow skin color together with dark tea colored urine.,General Medicine
Itchy throat and runny nose which is getting worse.,Dermatology
Dealing with severe night sweats and coughing up blood.,General Medicine
I've been suffering from blood while brushing teeth and red tender gums for a few days.,Dentistry
"Started with skin plaques, now I also feel silver scaly patches.",Dermatology
Blisters,Dermatology
Dealing with severe tooth sensitivity to hot cold and cavity in molar.,Dentistry
I have disturbed sleep and staying awake at night.,Psychiatry
Experiencing fatigue along with dark tea colored urine.,General Medicine
Sweating and rapid weight loss which is getting worse.,General Medicine
Complaining of fatigue together with abdominal discomfort.,General Medicine
Complaining of fungal patches on toes together with dry scaly patches.,Dermatology
Dealing with severe dry skin and unexplained weight gain.,General Medicine
I feel shakiness and sweating and hunger and confusion.,General Medicine
Dealing with severe rapid weight loss and anxiety and tremors.,General Medicine
Dealing with severe severe headache and shortness of breath.,Cardiology
I have swollen purple veins on legs and spider veins.,General Medicine
Complaining of cavity in molar together with tooth sensitivity to hot cold.,Dentistry
Dealing with severe pimples on face and blackheads.,Dermatology
Lower pelvic pain and cloudy foul urine which is getting worse.,Gynecology
"Started with left arm pain, now I also feel shortness of breath.",Cardiology
Severe shivering,General Medicine
Runny nose,ENT
I feel itchy fluid filled blisters and rash spread all over skin.,Pediatrics
Complaining of yellow skin color together with yellow eyes.,General Medicine
I have loss of appetite and yellow skin.,General Medicine
Experiencing facial pain under eyes along with sinus headache.,ENT
Nervous stomach,Psychiatry
Experiencing sinus headache along with thick yellow nasal discharge.,ENT
Dealing with severe unable to fall asleep and disturbed sleep.,Psychiatry
Vertigo and loss of balance which is getting worse.,Neurology
"Started with sudden weakness, now I also feel difficulty walking.",Neurology
Vomiting and watery diarrhea which is getting worse.,General Medicine
I've been suffering from extreme body weakness and headache for a few days.,General Medicine
Rapid weight loss,General Medicine
Experiencing itchy fluid filled blisters along with fever.,Pediatrics
I've been suffering from numbness in fingers and arm tingling for a few days.,Neurology
Chest burn after eating and heartburn which is getting worse.,General Medicine
Fatigue and low energy,Psychiatry
Fungal patches on toes,Dermatology
Experiencing itching in anal area along with anal lumps.,General Medicine
Experiencing heartburn along with acid reflux.,General Medicine
Complaining of sweating together with heat sensitivity.,General Medicine
Sudden hives,Dermatology
Dealing with severe ear pain and clogged ear sensation.,ENT
Dizziness,Cardiology
Dealing with severe fever and dark yellow urine.,General Medicine
I've been suffering from abdominal swelling and jaundice after heavy drinking for a few days.,General Medicine
Experiencing runny nose along with constant sneezing.,Dermatology
I feel sudden dizziness and hunger and confusion.,General Medicine
Sweaty palms,Psychiatry
I have sudden dizziness and heart palpitations.,General Medicine
Complaining of body aches together with itchy fluid filled blisters.,Pediatrics
"Started with sensitivity to sound, now I also feel throbbing headache.",Neurology
Dealing with severe nausea and vomiting.,General Medicine
I have red itchy skin rash and ringworm spots.,Dermatology
I feel tooth sensitivity to hot cold and cavity in molar.,Dentistry
I've been suffering from watery eyes and constant sneezing for a few days.,Dermatology
Experiencing neck cracking sound along with numbness in fingers.,Neurology
I feel clogged ear sensation and ear pain.,ENT
Abdominal swelling,General Medicine
Dealing with severe runny nose and dry cough.,ENT
Hip joint stiffness and knee pain when bending which is getting worse.,Orthopedics
Experiencing unexplained weight loss along with coughing up blood.,General Medicine
Neck pain,Neurology
Complaining of numbness in fingers together with shoulder stiffness.,Neurology
I've been suffering from headache and muscle ache and sweating for a few days.,General Medicine
I have cough with green sputum and chest pain when breathing.,General Medicine
Dealing with severe nausea and acute chest pain.,Cardiology
I have jaundice symptoms and abdominal discomfort.,General Medicine
Dealing with severe joint pain and dark urine.,General Medicine
"Started with leg cramping at night, now I also feel swollen purple veins on legs.",General Medicine
Complaining of joint inflammation together with warm red joints.,Orthopedics
Yellow skin,General Medicine
Dealing with severe sweating and high fever with chills.,General Medicine
Complaining of room spinning together with nausea.,Neurology
I feel child colic and toddler high temperature.,Pediatrics
Oily skin,Dermatology
Dealing with severe itchy fluid filled blisters and body aches.,Pediatrics
Experiencing sensitivity to light along with visual aura.,Neurology
"Started with unable to fall asleep, now I also feel waking up tired.",Psychiatry
I feel constant crying spells and fatigue and low energy.,Psychiatry
I feel fatigue and jaundice symptoms.,General Medicine
Experiencing sweaty palms along with racing thoughts.,Psychiatry
I feel sweating and high fever with chills.,General Medicine
I have shortness of breath and left arm pain.,Cardiology
I feel rash spread all over skin and fever.,Pediatrics
I have vertigo and room spinning.,Neurology
Headache and muscle ache,General Medicine
Dealing with severe ear pain and fluid drainage from ear.,ENT
"Started with cough with green sputum, now I also feel chest pain when breathing.",General Medicine
I have fatigue and low energy and feeling empty and hopeless.,Psychiatry
Blisters and fluid filled bumps which is getting worse.,Dermatology
Complaining of swollen painful joints together with stiff fingers.,Orthopedics
Hip joint stiffness,Orthopedics
"Started with severe bone joint pain, now I also feel high fever.",General Medicine
Complaining of nausea together with vomiting.,General Medicine
I've been suffering from thick yellow nasal discharge and nasal blockage for a few days.,ENT
"Started with constant fatigue, now I also feel unexplained weight gain.",General Medicine
Complaining of headache and muscle ache together with sweating.,General Medicine
Vomiting,General Medicine
I've been suffering from skin plaques and dry cracked skin for a few days.,Dermatology
Experiencing jaundice symptoms along with fatigue.,General Medicine
Complaining of abdominal pain under ribs together with fatigue.,General Medicine
Leg cramping at night,General Medicine
Complaining of restlessness together with sweaty palms.,Psychiatry
I feel heart palpitations and shakiness and sweating.,General Medicine
Persistent cough for 3 weeks and coughing up blood which is getting worse.,General Medicine
Experiencing pain when chewing along with gum sensitivity.,Dentistry
Experiencing fungal patches on toes along with dry scaly patches.,Dermatology
I feel vomiting and fever.,General Medicine
Complaining of leg cramping at night together with swollen purple veins on legs.,General Medicine
Experiencing pelvic cramps during cycle along with severe menstrual cramps.,Gynecology
I feel wheezing and dry cough at night.,General Medicine
"Started with visible hole in tooth, now I also feel tooth sensitivity to hot cold.",Dentistry
Dealing with severe honey colored crusts on skin and blisters.,Dermatology
Sour taste in mouth,General Medicine
I feel loss of balance and vertigo.,Neurology
"Started with anxiety and tremors, now I also feel racing heart rate.",General Medicine
Experiencing difficulty walking along with sudden weakness.,Neurology
I've been suffering from itchy body rash and skin peeling for a few days.,Dermatology
"Started with abdominal discomfort, now I also feel jaundice symptoms.",General Medicine
I feel severe menstrual cramps and heavy period bleeding.,Gynecology
Complaining of sudden dizziness together with shakiness and sweating.,General Medicine
Tooth nerve throbbing,Dentistry
"Started with dark tea colored urine, now I also feel yellow eyes.",General Medicine
"Started with dry scaly patches, now I also feel fungal patches on toes.",Dermatology
I've been suffering from fatigue and yellow skin color for a few days.,General Medicine
Complaining of sudden hives together with itchy body rash.,Dermatology
I have toddler high temperature and infant teething fever.,Pediatrics
Warm red joints,Orthopedics
I have sudden dizziness and shakiness and sweating.,General Medicine
Fatigue and dark urine which is getting worse.,General Medicine
Complaining of rash spread all over skin together with body aches.,Pediatrics
Dealing with severe stomach cramps and vomiting.,General Medicine
Experiencing racing thoughts along with nervous stomach.,Psychiatry
Cloudy foul urine and burning sensation during urination which is getting worse.,Gynecology
Red tender gums,Dentistry
Skin plaques,Dermatology
Visible hole in tooth,Dentistry
Complaining of cavity in molar together with tooth sensitivity to hot cold.,Dentistry
Experiencing joint stiffness in morning along with knee pain when bending.,Orthopedics
Dry scaly patches and skin peeling which is getting worse.,Dermatology
I feel difficulty catching breath and chest tightness when breathing.,General Medicine
I feel coughing up blood and unexplained weight loss.,General Medicine
Blood while brushing teeth and swollen bleeding gums which is getting worse.,Dentistry
"Started with swollen purple veins on legs, now I also feel leg cramping at night.",General Medicine
"Started with shortness of breath, now I also feel sweating.",Cardiology
I've been suffering from jaundice and dark yellow urine for a few days.,General Medicine
Mild fever,ENT
Complaining of mild fever together with sneezing.,ENT
I have facial pain under eyes and thick yellow nasal discharge.,ENT
Constipation,General Medicine
I have honey colored crusts on skin and blisters.,Dermatology
High fever with chills and shortness of breath which is getting worse.,General Medicine
Dealing with severe toddler high temperature and child colic.,Pediatrics
I've been suffering from constant fatigue and unexplained weight gain for a few days.,General Medicine
Complaining of shortness of breath together with chest pressure.,Cardiology
I've been suffering from dark yellow urine and jaundice for a few days.,General Medicine
Arm tingling,Neurology
I've been suffering from pain when chewing and tooth nerve throbbing for a few days.,Dentistry
Experiencing runny nose along with itchy throat.,Dermatology
I have pain when chewing and gum sensitivity.,Dentistry
Complaining of cough with green sputum together with shortness of breath.,General Medicine
Complaining of loss of interest in hobbies together with constant crying spells.,Psychiatry
Chest tightness when breathing and dry cough at night which is getting worse.,General Medicine
Dealing with severe wheezing and chest tightness when breathing.,General Medicine
"Started with headache and muscle ache, now I also feel high fever with chills.",General Medicine
Experiencing dry cough at night along with wheezing.,General Medicine
Sensitivity to sound,Neurology
I feel pain behind eyes and severe bone joint pain.,General Medicine
I've been suffering from itching in anal area and anal lumps for a few days.,General Medicine
I have bloating and chest burn after eating.,General Medicine
Fatigue,General Medicine
I've been suffering from heat sensitivity and sweating for a few days.,General Medicine
Fungal patches on toes and dry scaly patches which is getting worse.,Dermatology
I feel yellowing of eyes and fatigue.,General Medicine
Shortness of breath,General Medicine
Complaining of fatigue together with jaundice symptoms.,General Medicine
Experiencing rectal bleeding along with painful bowel movements.,General Medicine
Cavity in molar,Dentistry
Constant panic feeling and sweaty palms which is getting worse.,Psychiatry
I feel blisters and honey colored crusts on skin.,Dermatology
Abdominal swelling,General Medicine
I have high fever with chills and headache and muscle ache.,General Medicine
Complaining of runny nose together with nasal congestion.,Dermatology
"Started with racing thoughts, now I also feel constant panic feeling.",Psychiatry
Skin peeling,Dermatology
Complaining of knee pain when bending together with hip joint stiffness.,Orthopedics
Experiencing visual aura along with sensitivity to light.,Neurology
Experiencing itchy fluid filled blisters along with body aches.,Pediatrics
I have facial droop and numbness in arm.,Neurology
Sweating and anxiety and tremors which is getting worse.,General Medicine
Complaining of swollen lips after medicine together with itchy body rash.,Dermatology
Swollen lips after medicine and sudden hives which is getting worse.,Dermatology
Experiencing staying awake at night along with disturbed sleep.,Psychiatry
Complaining of fatigue and low energy together with constant crying spells.,Psychiatry
I feel restlessness and nervous stomach.,Psychiatry
Dealing with severe fatigue and nausea.,General Medicine
I've been suffering from acid reflux and bloating for a few days.,General Medicine
High blood pressure and severe headache which is getting worse.,Cardiology
"Started with oily skin, now I also feel inflamed red bumps.",Dermatology
High fever with chills and cough with green sputum which is getting worse.,General Medicine
Waking up tired,Psychiatry
Dark urine,General Medicine
I've been suffering from nasal blockage and facial pain under eyes for a few days.,ENT
I feel fever and vomiting.,General Medicine
I feel extreme body weakness and headache.,General Medicine
I feel swollen bleeding gums and red tender gums.,Dentistry
Dealing with severe bloating and chest burn after eating.,General Medicine
Shortness of breath and chest pain when breathing which is getting worse.,General Medicine
Heavy period bleeding,Gynecology
I feel waking up tired and unable to fall asleep.,Psychiatry
Dealing with severe baby crying and hot and infant teething fever.,Pediatrics
I feel hearing muffling and ear pain.,ENT
Experiencing severe headache along with chest pressure.,Cardiology
I feel high fever with chills and chest pain when breathing.,General Medicine
I've been suffering from fluid filled bumps and blisters for a few days.,Dermatology
I feel abdominal pain under ribs and nausea.,General Medicine
Experiencing high blood pressure along with shortness of breath.,Cardiology
Nausea and abdominal swelling which is getting worse.,General Medicine
Experiencing unexplained weight gain along with dry skin.,General Medicine
Dealing with severe nausea and fatigue.,General Medicine
Experiencing leg cramping at night along with spider veins.,General Medicine
I feel anxiety and tremors and sweating.,General Medicine
I've been suffering from clogged ear sensation and hearing muffling for a few days.,ENT
Thick yellow nasal discharge and facial pain under eyes which is getting worse.,ENT
I have anxiety and tremors and heat sensitivity.,General Medicine
Complaining of dry skin together with cold sensitivity.,General Medicine
I feel stomach cramps and nausea.,General Medicine
Throbbing headache,Neurology
Experiencing severe menstrual cramps along with lower abdominal pain.,Gynecology
I feel fungal patches on toes and skin peeling.,Dermatology
Toddler high temperature and child colic which is getting worse.,Pediatrics
Complaining of itchy throat together with runny nose.,Dermatology
Experiencing red tender gums along with swollen bleeding gums.,Dentistry
Experiencing red tender gums along with blood while brushing teeth.,Dentistry
Nausea and fatigue which is getting worse.,General Medicine
Experiencing joint stiffness in morning along with knee pain when bending.,Orthopedics
"Started with high fever, now I also feel pain behind eyes.",General Medicine
Aching heavy legs and swollen purple veins on legs which is getting worse.,General Medicine
"Started with jaundice after heavy drinking, now I also feel fatigue.",General Medicine
I feel fever and rash spread all over skin.,Pediatrics
Experiencing dizziness along with sensitivity to sound.,Neurology
Red sores around nose,Dermatology
Wheezing,General Medicine
Abdominal swelling and fatigue which is getting worse.,General Medicine
"Started with headache, now I also feel extreme body weakness.",General Medicine
I feel cavity in molar and visible hole in tooth.,Dentistry
Lower abdominal pain,Gynecology
"Started with congested sinus, now I also feel dry cough.",ENT
I feel cold sensitivity and dry skin.,General Medicine
I've been suffering from facial droop and numbness in arm for a few days.,Neurology
I've been suffering from extreme body weakness and stomach pain for a few days.,General Medicine
I've been suffering from sensitivity to light and sensitivity to sound for a few days.,Neurology
"Started with baby crying and hot, now I also feel toddler high temperature.",Pediatrics
Complaining of loss of balance together with dizziness.,Neurology
I've been suffering from dry cough and sneezing for a few days.,ENT
Dealing with severe cough with green sputum and shortness of breath.,General Medicine
I feel knee pain when bending and cracking knee joint.,Orthopedics
Nausea,Neurology
I've been suffering from dark yellow urine and vomiting for a few days.,General Medicine
Complaining of blisters together with honey colored crusts on skin.,Dermatology
I've been suffering from dry cough at night and difficulty catching breath for a few days.,General Medicine
Fatigue,General Medicine
I feel unable to fall asleep and waking up tired.,Psychiatry
I have loss of balance and room spinning.,Neurology
Dealing with severe nasal congestion and itchy throat.,Dermatology
Jaundice symptoms and fatigue which is getting worse.,General Medicine
Dizziness,Neurology
I have heartburn and chest burn after eating.,General Medicine
Experiencing fatigue along with abdominal discomfort.,General Medicine
I feel loss of appetite and yellow skin.,General Medicine
